iter	Passed	Remaining
0	142	142853
1	144	72125
2	148	49204
3	149	37238
4	150	30039
5	152	25251
6	153	21788
7	154	19184
8	155	17145
9	156	15530
10	157	14181
11	158	13050
12	159	12090
13	161	11370
14	162	10685
15	163	10054
16	164	9488
17	164	8982
18	165	8529
19	165	8122
20	166	7753
21	166	7418
22	167	7112
23	167	6831
24	168	6574
25	169	6337
26	169	6115
27	170	5910
28	170	5719
29	171	5542
30	172	5380
31	172	5224
32	173	5078
33	173	4939
34	174	4808
35	176	4737
36	177	4625
37	178	4513
38	178	4406
39	179	4305
40	179	4208
41	180	4117
42	181	4029
43	181	3946
44	182	3866
45	182	3793
46	183	3720
47	184	3649
48	184	3582
49	185	3517
50	185	3455
51	186	3395
52	186	3338
53	187	3282
54	187	3228
55	188	3177
56	189	3127
57	189	3079
58	190	3038
59	191	2994
60	191	2950
61	192	2908
62	192	2867
63	193	2827
64	193	2788
65	194	2751
66	194	2714
67	195	2679
68	196	2646
69	196	2614
70	197	2581
71	197	2550
72	198	2520
73	199	2490
74	199	2461
75	200	2433
76	200	2405
77	201	2378
78	201	2352
79	202	2326
80	202	2301
81	203	2277
82	204	2260
83	205	2238
84	205	2216
85	206	2194
86	207	2172
87	207	2150
88	208	2130
89	208	2109
90	209	2089
91	209	2072
92	210	2053
93	211	2034
94	211	2016
95	212	1998
96	212	1980
97	213	1962
98	213	1945
99	214	1929
100	214	1912
101	215	1896
102	215	1880
103	216	1865
104	217	1850
105	217	1835
106	218	1821
107	219	1809
108	219	1795
109	220	1781
110	220	1768
111	221	1755
112	221	1742
113	222	1729
114	223	1716
115	223	1704
116	224	1691
117	224	1679
118	225	1667
119	225	1655
120	226	1644
121	226	1632
122	227	1621
123	227	1609
124	228	1599
125	229	1590
126	229	1579
127	230	1569
128	230	1559
129	231	1549
130	232	1539
131	233	1537
132	234	1527
133	234	1517
134	235	1508
135	236	1500
136	236	1492
137	237	1483
138	238	1475
139	238	1467
140	239	1459
141	239	1449
142	240	1441
143	241	1433
144	241	1424
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1384
150	244	1377
151	245	1369
152	246	1362
153	246	1355
154	248	1354
155	249	1347
156	249	1340
157	250	1333
158	250	1326
159	251	1319
160	251	1311
161	252	1304
162	252	1298
163	253	1291
164	253	1284
165	254	1278
166	254	1271
167	255	1265
168	256	1259
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1228
174	259	1222
175	259	1216
176	260	1210
177	261	1205
178	261	1200
179	263	1200
180	264	1195
181	264	1190
182	265	1184
183	265	1179
184	266	1174
185	267	1168
186	267	1163
187	268	1158
188	268	1152
189	269	1147
190	269	1142
191	270	1137
192	270	1132
193	271	1127
194	272	1122
195	272	1118
196	273	1113
197	273	1108
198	274	1103
199	274	1098
200	275	1094
201	275	1089
202	276	1085
203	278	1086
204	279	1082
205	279	1077
206	280	1073
207	280	1068
208	281	1064
209	281	1060
210	282	1055
211	282	1051
212	283	1047
213	284	1043
214	284	1038
215	285	1034
216	285	1030
217	286	1026
218	286	1022
219	287	1018
220	287	1014
221	288	1010
222	288	1006
223	289	1002
224	289	998
225	290	994
226	291	991
227	291	987
228	292	985
229	293	982
230	293	978
231	294	975
232	295	971
233	295	967
234	296	964
235	296	960
236	297	957
237	297	953
238	298	949
239	298	946
240	299	943
241	299	939
242	300	936
243	301	932
244	301	929
245	302	926
246	302	922
247	303	919
248	303	916
249	304	912
250	305	910
251	305	906
252	306	906
253	307	903
254	308	900
255	308	897
256	309	894
257	310	891
258	310	888
259	311	885
260	311	882
261	312	879
262	312	876
263	313	873
264	313	870
265	314	867
266	315	864
267	315	861
268	316	858
269	316	856
270	317	853
271	317	850
272	318	847
273	318	844
274	319	842
275	319	839
276	320	836
277	322	837
278	322	834
279	323	831
280	324	829
281	324	826
282	325	823
283	325	820
284	326	818
285	326	815
286	327	813
287	327	810
288	328	807
289	329	806
290	329	803
291	330	801
292	331	798
293	331	796
294	332	793
295	333	792
296	333	790
297	334	788
298	335	786
299	337	787
300	338	785
301	338	783
302	339	780
303	339	778
304	340	775
305	341	773
306	341	771
307	342	768
308	342	766
309	343	763
310	343	761
311	344	759
312	344	756
313	345	754
314	345	752
315	346	750
316	347	747
317	347	745
318	348	743
319	348	741
320	349	738
321	349	736
322	350	734
323	352	734
324	352	732
325	353	730
326	353	728
327	354	726
328	355	724
329	355	722
330	356	719
331	356	717
332	357	715
333	357	713
334	358	711
335	358	709
336	359	707
337	359	705
338	360	703
339	361	701
340	362	699
341	362	697
342	363	695
343	363	693
344	364	691
345	364	689
346	365	687
347	367	687
348	367	685
349	368	683
350	368	681
351	369	679
352	369	677
353	370	675
354	370	673
355	371	671
356	372	670
357	372	668
358	373	666
359	373	664
360	374	662
361	375	660
362	375	659
363	376	657
364	377	656
365	377	654
366	378	652
367	378	650
368	379	648
369	379	646
370	380	645
371	381	644
372	382	642
373	382	640
374	383	639
375	384	637
376	384	635
377	385	633
378	385	631
379	386	630
380	386	628
381	387	626
382	387	624
383	388	623
384	389	621
385	390	620
386	390	618
387	391	617
388	391	615
389	392	613
390	392	611
391	393	610
392	393	608
393	394	606
394	395	605
395	396	604
396	397	603
397	397	601
398	398	599
399	398	598
400	399	596
401	399	594
402	400	593
403	400	591
404	401	589
405	401	588
406	402	586
407	403	585
408	404	583
409	404	582
410	405	581
411	406	579
412	407	578
413	407	577
414	408	575
415	409	574
416	409	572
417	410	571
418	411	570
419	411	568
420	412	566
421	412	565
422	413	563
423	413	562
424	414	561
425	415	559
426	416	558
427	416	556
428	417	555
429	417	553
430	418	552
431	418	550
432	419	549
433	419	547
434	420	546
435	421	544
436	421	543
437	422	542
438	423	541
439	424	539
440	424	538
441	425	536
442	425	535
443	426	533
444	426	532
445	427	530
446	427	529
447	428	527
448	429	526
449	429	525
450	430	523
451	430	522
452	431	520
453	431	519
454	432	517
455	432	516
456	433	514
457	433	513
458	434	512
459	435	510
460	435	509
461	436	508
462	437	507
463	438	506
464	438	504
465	439	503
466	440	502
467	440	501
468	441	499
469	441	498
470	442	496
471	442	495
472	443	494
